HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.HIT_ID,Input.pr_link,Input.contributors_url,Input.merged,Input.submitter,Input.closer,Input.cores,Input.p_num,Input.c_num,Answer.Comment,Answer.GithubID,Answer.P1_Submitter,Answer.P2_Cores,Answer.P3_External,Answer.Q1_Support?,Answer.Q1_Support_Comment,Answer.Q2_Alternate S?,Answer.Q2_Alternate_Comment,Answer.Q3_Dis_Solution?,Answer.Q3_Dis_Solution_Comment,Answer.Q4_Dis_Problem?,Answer.Q4_Dis_Problem_Comment,Answer.Q5_Outcome?,Answer.Q5_Outcome_Comment?,Approve,Reject



mengxr commented on Jan 26



ok to test","Y,core","BryanCutler on Feb 23



I agree that we should have a consistent format for Supported Values or Allowed Values from classification.py and regression.py. The difference with the others is that they have a small description for each value too.



@vijaykiran , it would be great to finish this up and get it merged. If you are unable to, I could take it from here, thanks!",N,{},N,{},"Rej, implemented.","thunterdb commented on Jan 7



@vijaykiran thanks for the style fixes.",,

37VHPF5VYCRB5TOECLSAF1DHDXGC8W,3PZBZMF78J7ICNQ2210RDQLULP2X9O,Tagging Github Comments. (GitHub User Only. Reward Available.),Read comments for code contribution. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy, Reward.",$0.50 ,Sun Sep 25 14:40:04 PDT 2016,2,BatchId:2537954;,3600,604800,Wed Oct 05 14:46:01 PDT 2016,,,3KIBXJ1WD6IYV3LC1H35OQBAAEAOKW,AMZVZJL54O491,Rejected,Mon Sep 26 00:35:15 PDT 2016,Mon Sep 26 00:39:25 PDT 2016,Mon Oct 03 00:39:25 PDT 2016,,Wed Sep 28 14:46:00 PDT 2016,Submitter is left blank. If you have doubts about that. Please contact di.chen.mturk@gmail.com,250,80% (64/80),80% (64/80),80% (64/80),993,https://github.com/opencontainers/runc/pull/454,https://github.com/opencontainers/runc/graphs/contributors,TRUE,mlaventure,mrunalp,"crosbymichael, mrunalp, LK4D4",7,9,{},{},{},"crosbymichael, mrunalp, LK4D4, avagin, rajasec, cyphar,","GordonTheTurtle, dqminh, krobertson, estesp, mlaventure,","Y,core","mlaventure commented on Feb 8



Rebased.",N,{},"Y,improve","avagin on Jan 14



We need to include sys/types.h","Y, no value","krobertson commented on Mar 1



:+1: I think this also fixes a potential issue with two containers sharing a user namespace.



Since other namespaces are associated with the user namespace they were created from, it is best to join the user namespace before creating the new namespaces on clone or unshare.",Merged.,{},,

37VHPF5VYCRB5TOECLSAF1DHDXGC8W,3PZBZMF78J7ICNQ2210RDQLULP2X9O,Tagging Github Comments. (GitHub User Only. Reward Available.),Read comments for code contribution. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy, Reward.",$0.50 ,Sun Sep 25 14:40:04 PDT 2016,2,BatchId:2537954;,3600,604800,Wed Oct 05 14:46:01 PDT 2016,,,3PMBY0YE28RD5I5I7F3P3H3DBE89C0,ABFSVRWVFHZ6P,Approved,Sat Oct 01 02:13:35 PDT 2016,Sat Oct 01 02:20:29 PDT 2016,Sat Oct 08 02:20:29 PDT 2016,Sat Oct 01 19:06:04 PDT 2016,,,414,100% (39/39),100% (39/39),100% (39/39),993,https://github.com/opencontainers/runc/pull/454,https://github.com/opencontainers/runc/graphs/contributors,TRUE,mlaventure,mrunalp,"crosbymichael, mrunalp, LK4D4",7,9,{},0pointr,mlaventure,"vieux, rjnagal, hqhq, crosbymichael, LK4D4, vishh, creack, cyphar, dqminh, mrunalp, vmarmol","krobertson, GordonTheTurtle","Y,core","LGTM



$$$$



LGTM

Great work @dqminh Thanks @avagin for the guidance and feedback and @mlaventure for taking it to merge :)",N,{},N,{},N,{},Merged.,{},,

3R0WOCG21MXJ8I15FKOQVZDOVOJUDT,3PZBZMF78J7ICNQ2210RDQLULP2X9O,Tagging Github Comments. (GitHub User Only. Reward Available.),Read comments for code contribution. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy, Reward.",$0.50 ,Sun Sep 25 14:40:02 PDT 2016,2,BatchId:2537954;,3600,604800,Tue Oct 04 10:53:04 PDT 2016,,,3B1NLC6UG0KBEH1UQQV5FYO7D3FPG3,AMZVZJL54O491,Approved,Mon Sep 26 04:11:15 PDT 2016,Mon Sep 26 04:13:25 PDT 2016,Mon Oct 03 04:13:25 PDT 2016,Wed Sep 28 14:46:02 PDT 2016,Tue Sep 27 10:53:04 PDT 2016,,130,80% (64/80),80% (64/80),80% (64/80),1011,https://github.com/FriendsOfPHP/PHP-CS-Fixer/pull/1659,https://github.com/FriendsOfPHP/PHP-CS-Fixer/graphs/contributors,FALSE,SpacePossum,keradus,"keradus, fabpot",5,9,{},{},spacepossum,"keradus, fabpot,spacepossum","stof, gharlan,  GrahamCampbell",N,{},"Y,core","keradus on Jan 7



Don't like the idea of putting this in constructor.

The Fixer (main one) create a lot of *Fixers (like StrictFixer), then play with them, eg remove the ones that have not been choosen to use.","Y,bug","@gharlan

gharlan on Jan 7



@keradus the tests should pass because strlen is the correct case ;)

maybe you want tests with overriden StrLen or something like this?



then it would not pass. but the change would not change code behavior",N,{},"Rej, not sure.",{},,

3R0WOCG21MXJ8I15FKOQVZDOVOJUDT,3PZBZMF78J7ICNQ2210RDQLULP2X9O,Tagging Github Comments. (GitHub User Only. Reward Available.),Read comments for code contribution. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy, Reward.",$0.50 ,Sun Sep 25 14:40:02 PDT 2016,2,BatchId:2537954;,3600,604800,Tue Oct 04 10:53:04 PDT 2016,,,3QAVNHZ3ENSKD59TCYAO2V4KB55LA8,ABFSVRWVFHZ6P,Approved,Sat Oct 01 02:21:07 PDT 2016,Sat Oct 01 02:36:23 PDT 2016,Sat Oct 08 02:36:23 PDT 2016,Sat Oct 01 19:06:02 PDT 2016,,,916,100% (39/39),100% (39/39),100% (39/39),1011,https://github.com/FriendsOfPHP/PHP-CS-Fixer/pull/1659,https://github.com/FriendsOfPHP/PHP-CS-Fixer/graphs/contributors,FALSE,SpacePossum,keradus,"keradus, fabpot",5,9,{},0pointr,SpacePossum,"fabpot, keradus",{},N,{},"Y,core|Y,others","It would make sense to go into the constructor if we made it abstract.



$$$$



Not. it is cached inside static variable inside fix method.

I would move that into this method - this will encapsulate result in cache in same place that it is computing it.



BTW, creating static var in for loop isn't prettiest solution ;)","Y,improve","this is slow... 

no need to recalculate this for every single file



$$$$



Don't like the idea of putting this in constructor.

The Fixer (main one) create a lot of *Fixers (like StrictFixer), then play with them, eg remove the ones that have not been choosen to use.



Putting things into constructors will make them run every time, even if one not want to use that fixer.



$$$$



This should be marked as risky.",N,{},"Rej, implemented.",NativeFunctionCasingFixer - move to Symfony level #1669,,

3S8A4GJRD3RK0OBQANQHLF5FS966V3,3PZBZMF78J7ICNQ2210RDQLULP2X9O,Tagging Github Comments. (GitHub User Only. Reward Available.),Read comments for code contribution. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy, Reward.",$0.50 ,Sun Sep 25 14:40:02 PDT 2016,1,BatchId:2537954;,3600,604800,Sun Oct 02 14:40:02 PDT 2016,,,3JBT3HLQF9QB5YWZGIJU054DOT6PZP,AMZVZJL54O491,Approved,Mon Sep 26 03:54:37 PDT 2016,Mon Sep 26 03:57:38 PDT 2016,Mon Oct 03 03:57:38 PDT 2016,Wed Sep 28 14:46:02 PDT 2016,,,181,80% (64/80),80% (64/80),80% (64/80),1037,https://github.com/auth0/angular2-jwt/pull/16,https://github.com/auth0/angular2-jwt/graphs/contributors,FALSE,CaptainCodeman,chenkie,"chenkie, escardin",4,9,{},{},captaincodeman,"chenkie, escardin, charsleysa",kudoz83,"Y,core","chenkie commented on Jan 11



Thanks @CaptainCodeman and @escardin, I'll check this out in a bit.","Y,others","kudoz83 commented on Jan 15



Questions/Statements about the proposed functionality - apologies in advance if i'm completely off the mark here:



    in OAuth against OpenId Connect, web clients would use an implicit grant type, which does not provide a refresh token. Instead, authorization is re-requested via an iframe using prompt=none and id_token_hint= properties. It would be good if this provided a way to override the re-authorization logic (e.g. don't assume it is via refresh token). I think the idea would be to be able to provide a renewal function, in which we either use http service to perform a refresh via refresh token, or some other logic that is more compliant with the authentication system we're using.



    trigger for re-authentication needs to include cases when an authenticated call returns a 401 response, not just when a token is scheduled to expire. If re-authentication fails we need to surface this error to the consumer so they can redirect or something.



    AuthHttp needs to handle queuing subsequent requests made through it while awaiting the result of the renewal function. The idea is that renewal should be an atomic operation.","Y,improve",It would be good to queue up requests (less important if there is any preemptive refresh mechanism) but that could be handled if needed within the refresh method which is returning an observable. It just needs to keep track if it already has any in-flight request (probably some rxjs operator can make that easy as well as things like retries).,"Y, no value","chenkie commented on Feb 26



Thanks again for this @CaptainCodeman :) As mentioned in the issue, this is better suited to a separate module, which I'd love to collaborate on. Closing this in light of that.","Rej, not sure.",{},,

36KM3FWE3R0NBNOFQ07K60FLTOD70B,3PZBZMF78J7ICNQ2210RDQLULP2X9O,Tagging Github Comments. (GitHub User Only. Reward Available.),Read comments for code contribution. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy, Reward.",$0.50 ,Sun Sep 25 14:40:03 PDT 2016,2,BatchId:2537954;,3600,604800,Wed Oct 05 14:46:00 PDT 2016,,,340UGXU9DZP7OJZLW7TLP5EG92YUV3,A1WSTW4R68I8KI,Approved,Fri Sep 30 08:06:01 PDT 2016,Fri Sep 30 08:11:25 PDT 2016,Fri Oct 07 08:11:25 PDT 2016,Sat Oct 01 19:06:04 PDT 2016,,,324,100% (4/4),100% (4/4),100% (4/4),1044,https://github.com/Automattic/wp-calypso/pull/2296,https://github.com/Automattic/wp-calypso/graphs/contributors,TRUE,enejb,enejb,"aduth, mtias, ebinnion",4,9,{},tagtraumer,enejb,"aduth, mtias, ebinnion, blowery, ockham, drewblaisdell, timmyc, johnHackworth",{},"Y,core",nice change :),N,{},N,{},N,{},"Rej, implemented.",I've added a commit adding @dmsnell suggestions,,

36KM3FWE3R0NBNOFQ07K60FLTOD70B,3PZBZMF78J7ICNQ2210RDQLULP2X9O,Tagging Github Comments. (GitHub User Only. Reward Available.),Read comments for code contribution. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy, Reward.",$0.50 ,Sun Sep 25 14:40:03 PDT 2016,2,BatchId:2537954;,3600,604800,Wed Oct 05 14:46:00 PDT 2016,,,39O5D9O87UGRQGG2Q62FC40RAE83C6,AMZVZJL54O491,Rejected,Mon Sep 26 00:53:28 PDT 2016,Mon Sep 26 01:01:56 PDT 2016,Mon Oct 03 01:01:56 PDT 2016,,Wed Sep 28 14:46:00 PDT 2016,Q5 is wrong. We approve HIT with at least correct answer for Q5 and the preparation parts. If you have doubts about that. Please contact di.chen.mturk@gmail.com,508,80% (64/80),80% (64/80),80% (64/80),1044,https://github.com/Automattic/wp-calypso/pull/2296,https://github.com/Automattic/wp-calypso/graphs/contributors,TRUE,enejb,enejb,"aduth, mtias, ebinnion",4,9,{},{},enejb,"aduth, mtias, ebinnion, blowery, ockham, drewblaisdell, timmyc, johnhackworth, stephanethomas, bluefuton, gziolo, retrofox, scruffian, gwwar",dmsnell,"Y,core","enejb commented on Jan 13



I like that change. The main reason we had that in place was because I wanted the state to not be lost as the user navigates around (between the tabs)","Y,core","johnHackworth commented on Jan 13



I've added a biiiiiiiiiiiig commit moving the selected plugins data handling to the state of PluginList instead of using the plugins store. I think that data should be there instead of being in the store, because it's not something we want to persist. Also, that allow us to handle plugins separatedly in each list when we have several on screen at the same time.



The commit adds more than 50 lines to an already big PR. If you feel that's too much, we can merge your commit (it was pretty much ready to go already) and then I can do another PR with my changes! Let's talk about it on slack...",N,"dmsnell commented on Jan 14



@enejb I hope you aren't annoyed by my comments! I tried to review some of the ways I would accomplish some of your goals and tried to do that because it seemed like you had asked for that in Slack.



None of this code looks bad to me, but there are a couple things that I think are strong detractors from it.



    These files and functions are very long. It's hard to grasp all that they are doing because of that size. We've discussed this before, even at least one of the files in this PR. Of course, I understand time constraints and PR scope, so take that as it is.



    The repeated and lengthy specification of variables within this.state or this.props makes it hard for me to read. Lines like 184 are particularly verbose which makes it unnecessarily difficult to comprehend. I'd rather see some helper variables to eliminate all the dot-chains. That being said, I feel like we may have different preferences in this regard, but I would suggest that having a helper variable a couple of lines above its use is no less clear or explicit than repeating these long hierarchy chains.",N,{},"Rej, implemented.","johnHackworth commented on Jan 15



Added a small commit fixing a fringe case ( placeholders not going away when you were in an active business plugins empty list). Apart from that, I think this is pretty solid an ready to go.

@dmsnell & @lezama have some very valid points about the style of several methods, but since this PR is quite big and it already improves this part of calypso a lot, both feature-wise and code-wise, I would ship it as is and address all this improvements in a new PR (also: This changes are going to be a hell to merge into my redux PR, the sooner we merge them, the easier :D",,

3PKVGQTFIH8UQ14F7MGZ39056DLYR1,3PZBZMF78J7ICNQ2210RDQLULP2X9O,Tagging Github Comments. (GitHub User Only. Reward Available.),Read comments for code contribution. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy, Reward.",$0.50 ,Sun Sep 25 14:40:02 PDT 2016,1,BatchId:2537954;,3600,604800,Sun Oct 02 14:40:02 PDT 2016,,,3WJ1OXY92B4PYYPAI91KXQIEQXE8A0,AMZVZJL54O491,Approved,Mon Sep 26 00:46:51 PDT 2016,Mon Sep 26 00:53:27 PDT 2016,Mon Oct 03 00:53:27 PDT 2016,Wed Sep 28 14:46:00 PDT 2016,,,396,80% (64/80),80% (64/80),80% (64/80),1049,https://github.com/bitcoin/bitcoin/pull/7273,https://github.com/bitcoin/bitcoin/graphs/contributors,FALSE,jonasschnelli,jonasschnelli,"laanwj, sipa, gavinandresen",6,10,{},{},jonasschnelli,"laanwj, sipa, gavinandresen, theuni, theluematt, jonasschnelli, marcofalke, luke-jr","instagibbs, pointbiz, jgarzik",N,{},N,{},"Y,bug","Concept ACK.



I think on-ramping users to this safely/transparently will be the most difficult part.



Warning users that the flag they've set can't be properly used until a new wallet is created(or some migration happens) is a must imo. There needs to be a tool/process to help with that migration, most likely with a backup/cloning step.",N,{},"Rej, not sure.",{},,

3BC9H1KCYU0ZYXL16GQ5Q88MYS0YW4,3PZBZMF78J7ICNQ2210RDQLULP2X9O,Tagging Github Comments. (GitHub User Only. Reward Available.),Read comments for code contribution. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy, Reward.",$0.50 ,Sun Sep 25 14:40:04 PDT 2016,1,BatchId:2537954;,3600,604800,Sun Oct 02 14:40:04 PDT 2016,,,3MTMREQS4W60OZLSGCHQB6L083OWA8,AKYJHE7UIR7FY,Approved,Sun Sep 25 19:47:13 PDT 2016,Sun Sep 25 19:57:33 PDT 2016,Sun Oct 02 19:57:33 PDT 2016,Wed Sep 28 14:46:01 PDT 2016,,,620,100% (2/2),100% (2/2),100% (2/2),1050,https://github.com/smooch/smooch-js/pull/145,https://github.com/smooch/smooch-js/graphs/contributors,TRUE,lemieux,lemieux,"lemieux, jugarrit, alavers",5,10,{},manu003,lemeiux,"lemieux, jugarrit, alavers,chloeproprum,jpjoyal,supportkitdude,spasiu,mspenseiri","dannytranx,mario54","Y,core","Looks pretty nice :)

$$$$

 I think? This deserves a bug bash

$$$$

awesome. and most of the tests look so much tighter then with backbone",N,{},"Y,bug","Bug Reports:



it doesn't find config/default/config anymore

serviceUrl param in config is not respected, always calls api.smooch.io

Unread badge number never increments from 1

Read messages doesn't persist between page loads (see gif, when the widget disappears is when I 



$$$$

Tagline not positioned correctly?



Chrome OSX El Capitan",N,{},Merged.,lemeiux merged commit bf31e24 into smooch:integration on Jan 9,,

34R3P23QHSPDC2VCWGMH48DJ8WNWH3,3PZBZMF78J7ICNQ2210RDQLULP2X9O,Tagging Github Comments. (GitHub User Only. Reward Available.),Read comments for code contribution. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy, Reward.",$0.50 ,Sun Sep 25 14:40:02 PDT 2016,1,BatchId:2537954;,3600,604800,Sun Oct 02 14:40:02 PDT 2016,,,3X3OR7WPZ0O6UHGEF0QA64YPK8NL83,A1WTD5OHCQS3TG,Approved,Sun Sep 25 21:35:45 PDT 2016,Sun Sep 25 22:09:51 PDT 2016,Sun Oct 02 22:09:51 PDT 2016,Wed Sep 28 14:45:59 PDT 2016,,,2046,30% (3/10),30% (3/10),30% (3/10),1058,https://github.com/google/google-api-dotnet-client/pull/650,https://github.com/google/google-api-dotnet-client/graphs/contributors,FALSE,squid808,squid808,"davidwaters, peleyal, mmdriley",4,10,{},zabza13,squid808,"davidwatersl,aiuto,chrsmith,peleyal","mmdriley,peleyal","Y,core|Y,others","Sorry for the trouble.



I'll test this on VS2013 next week. In the meantime, some projects should appear mostly blank -- their source files were moved to shared 



Are you on the latest update (5, I think) of VS2013?



$$$$ 

I think that you removed it by mistake... maybe as a result of bad merge","Y,core|Y,others","A huge change was committed recently. I suggest you sync with head, and then create a new PR, it will be easier for you.



The main issue is that all code moved from Src to Src/Support, see #653 for more details.","Y,bug","Gotcha, sorry for the confusion on our end. I'm trying to slowly ramp up in helping @peleyal out.



While it would probably be nicer to ""properly support"" features like the login_hint parameter by adding it as an optional field to the request object, having a general extensibility hook may come in handy in the future.



Should @peleyal or I go ahead and start to review the code, or do you still need to work out merge conflicts in your branch?","Y, no value","Why is this necessary? The authorization request only goes to accounts.google.com, right? Is there anything you need to specify via URL query parameters that isn't properly supported in the library? i.e. what does this PR unblock?



I'm not trying to be critical, I'm just trying to better understand the change.","Rej, implemented.",Fix for VS2013 is coming in #660,,

3ZRKL6Z1E8R65PJSS5UYMJYXNJESGL,3PZBZMF78J7ICNQ2210RDQLULP2X9O,Tagging Github Comments. (GitHub User Only. Reward Available.),Read comments for code contribution. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy, Reward.",$0.50 ,Sun Sep 25 14:40:04 PDT 2016,2,BatchId:2537954;,3600,604800,Tue Oct 04 10:53:03 PDT 2016,,,3MRNMEIQW6UIBCC5W81QSWCQW45LD5,A1WSTW4R68I8KI,Approved,Fri Sep 30 08:15:36 PDT 2016,Fri Sep 30 08:23:25 PDT 2016,Fri Oct 07 08:23:25 PDT 2016,Sat Oct 01 19:06:05 PDT 2016,,,469,100% (4/4),100% (4/4),100% (4/4),1060,https://github.com/php-fig/fig-standards/pull/730,https://github.com/php-fig/fig-standards/graphs/contributors,TRUE,Crell,samdark,"pmjones, Crell, michaelcullum",7,10,{},tagtraumer,Crell,"pmjones, Crell, michaelcullum, weierophinney, tedivm, anvius, dragoonis, mvriel",le6o,"Y,core",Otherwise :+1:,N,{},"Y,improve|Y,inconsistency","Do we want to enforce an empty line after the opening php tag and before the file-level docblock as not having one at the moment is common practice? This would make sense but adding an exception to an otherwise very clear rule would be a shame



$$$$



I would also prefer to enforce blank lines. The visual difference it may makes for reading is, IMHO, insignificant compared to the huge benefit of simplicity if we enforce it.



This PR makes the rules really trivial to understand and apply. And I believe it is something that should be aimed for.



$$$$



Is this an ordered list? If so, it's not clear from reading this.



If it's an ordered list, I think it'd be weird for the file-level docblock to go before the declare statement.",N,{},"Rej, implemented.",samdark merged commit d2e2554 into php-fig:master on 31 Jul,,

3ZRKL6Z1E8R65PJSS5UYMJYXNJESGL,3PZBZMF78J7ICNQ2210RDQLULP2X9O,Tagging Github Comments. (GitHub User Only. Reward Available.),Read comments for code contribution. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy, Reward.",$0.50 ,Sun Sep 25 14:40:04 PDT 2016,2,BatchId:2537954;,3600,604800,Tue Oct 04 10:53:03 PDT 2016,,,3PQ8K71NHY83HMIPF7LYTHO9GM9AA3,AMZVZJL54O491,Rejected,Mon Sep 26 04:47:37 PDT 2016,Mon Sep 26 04:58:21 PDT 2016,Mon Oct 03 04:58:21 PDT 2016,,Tue Sep 27 10:53:03 PDT 2016,Q5 is wrong. We approve HIT with at least correct answer for Q5 and the preparation parts. If you have doubts about that. Please contact di.chen.mturk@gmail.com,644,80% (64/80),80% (64/80),80% (64/80),1060,https://github.com/php-fig/fig-standards/pull/730,https://github.com/php-fig/fig-standards/graphs/contributors,TRUE,Crell,samdark,"pmjones, Crell, michaelcullum",7,10,{},{},Crell,"pmjones, Crell, michaelcullum, weieroophinney","teohhanhui, powerkiki, glen-84, samdark, le60, korivinszanto,","Y,core","KorvinSzanto commented on Mar 22



Looks like a good improvement to me, thank you!","Y,core","Crell commented on Mar 21



Made a few small adjustments per discussion above. I think this is ready to merge now if the Editor agrees.",N,{},N,{},"Rej, implemented.",{},,

3ZURAPD288B0X5O3429W8XBCW421FC,3PZBZMF78J7ICNQ2210RDQLULP2X9O,Tagging Github Comments. (GitHub User Only. Reward Available.),Read comments for code contribution. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy, Reward.",$0.50 ,Sun Sep 25 14:40:04 PDT 2016,1,BatchId:2537954;,3600,604800,Sun Oct 02 14:40:04 PDT 2016,,,3Y9N9SS8LZZ1V8MGQ2XQWAI9VG5D35,AMZVZJL54O491,Approved,Mon Sep 26 05:32:45 PDT 2016,Mon Sep 26 05:34:22 PDT 2016,Mon Oct 03 05:34:22 PDT 2016,Wed Sep 28 14:45:59 PDT 2016,,,97,80% (64/80),80% (64/80),80% (64/80),1084,https://github.com/kubernetes/heapster/pull/868,https://github.com/kubernetes/heapster/graphs/contributors,TRUE,huangyuqi,mwielgus,"vishh, mwielgus, piosz",6,10,{},{},huangyuqi,"vishh, mwielgus, piosz, vmarmol,huangyuqi,",piosz,,{},,{},,{},,{},,{},,

32TMVRKDGNM8APBZJ6MSW31TLKZ48B,3PZBZMF78J7ICNQ2210RDQLULP2X9O,Tagging Github Comments. (GitHub User Only. Reward Available.),Read comments for code contribution. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy, Reward.",$0.50 ,Sun Sep 25 14:40:02 PDT 2016,2,BatchId:2537954;,3600,604800,Wed Oct 05 14:46:03 PDT 2016,,,3A9AA95ATXADYKCA9UCEB1XIOOV5PK,A2JR05AXGBMG81,Approved,Thu Sep 29 09:37:34 PDT 2016,Thu Sep 29 09:49:47 PDT 2016,Thu Oct 06 09:49:47 PDT 2016,Sat Oct 01 19:06:02 PDT 2016,,,733,100% (1/1),100% (1/1),100% (1/1),1085,https://github.com/greenplum-db/gpdb/pull/253,https://github.com/greenplum-db/gpdb/graphs/contributors,FALSE,atris,hlinnaka,"bmomjian, tglsfdc, petere",5,10,{},andersonhc,atris,"bmomjian, tglsfdc, petere","gpdbdreddbot, ivannovick, hlinnaka, xinzweb",N,{},N,{},N,{},"Y, no value","I don't understand the design of this. Where are large objects stored? In the master? Distributed by LO oid?



What was the original problem with Large Objects, and how does this solve it? Have you got a test case to demonstrate what the problem was?



