HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.HIT_ID,Input.pr_link,Input.contributors_url,Input.closer,Input.cores,Input.p_num,Input.c_num,Answer.Comment,Input.submitter,Answer.P1_Submitter,Answer.P2_Cores,Answer.P3_External,Answer.Q1_Support?,Answer.Q1_Support_Comment,Answer.Q2_Alternate S?,Answer.Q2_Alternate_Comment,Answer.Q3_Dis_Solution?,Answer.Q3_Dis_Solution_Comment,Answer.Q4_Dis_Problem?,Answer.Q4_Dis_Problem_Comment,AssignmentId,Input.merged,Answer.Q5_Outcome?,Answer.Q5_Outcome_Comment?,Approve,Reject
PPS I still quite like having the attribute observers in the helper class init. It just feels cleaner to me.","Y,bug","its failing on your test @squilter, it's fetching latest copter from our hosting, right now it's: ""APM:Copter V3.3""",N,{},379J5II41P4N3IQ5S3CAYEUB8J8LEI,FALSE,NN,peterbarker closed this on Feb 12,,

3XU9MCX6VO04PGB8E194U5Z0UKKR2I,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:48 PDT 2016,2,BatchId:2567999;,3600,604800,Mon Nov 21 06:26:39 PST 2016,,,ABFSVRWVFHZ6P,Submitted,Wed Nov 09 06:34:41 PST 2016,Wed Nov 09 06:41:42 PST 2016,Wed Nov 16 06:41:42 PST 2016,,,,421,98% (39/40),0% (0/1),0% (0/1),1217,https://github.com/strongloop/loopback-connector-remote/pull/30,https://github.com/strongloop/loopback-connector-remote/graphs/contributors,superkhau,"bajtos, kraman",3,13,{},glesage,glesage,"Amir-61, bajtos, rmg, richardpringle, kraman, ritch, superkhau","glesage, slnode, altsang",N,{},"Y,core",move `parent: 'TestModel' down with the rest of the items in the list,N,{},N,{},3AZHRG4CU587WOLMEQ9VH3YRGBV30M,FALSE,NN,"Closing in favour of #31



$$$$



superkhau closed this on Jan 8",,

3BC9H1KCYU0ZYXL16GQ5Q88M1EUYW9,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:48 PDT 2016,1,BatchId:2567999;,3600,604800,Tue Nov 08 16:18:16 PST 2016,,,A2958TQAW43MP6,Approved,Tue Nov 01 23:43:59 PDT 2016,Tue Nov 01 23:48:29 PDT 2016,Tue Nov 08 22:48:29 PST 2016,2016-11-09 06:48:36 UTC,,,270,100% (12/12),100% (12/12),100% (11/11),1222,https://github.com/naver/arcus-java-client/pull/41,https://github.com/naver/arcus-java-client/graphs/contributors,jhpark816,"jhpark816, whchoi83",3,13,{},whchoi83,whchoi83,"jhpark816, whchoi83, aiceru, hoonmin",@jhpark816,N,{},"Y,core","setupForAuth() interface‘_Ó “_ê‘_÷‘ÎÛ‘ÁÏ êáü‘ÎÛ‘ÁÏ ‘Ôêê_Ê,,

internal“Ñê“ãÏ setupResend()‘´_ ’÷ü“_Ï’¥Ê “ÜÏ“Ñê ""setup for auth""‘ù_‘_Ó string“ùã ‘ã÷êü¡‘_Ó ê_Î “¢Üê_Ê“_µ‘Üö‘Ü_.",N,{},N,{},3AWETUDC93GJOC9V3NTAR831E3ZIZI,FALSE,NY,@jhpark816 jhpark816 closed this on 27 Jan,,

3EQVJH0T409LKLRI1BH6HO6K7OZTHF,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:48 PDT 2016,2,BatchId:2567999;,3600,604800,Mon Nov 21 06:26:39 PST 2016,,,ABFSVRWVFHZ6P,Submitted,Wed Nov 09 06:18:23 PST 2016,Wed Nov 09 06:34:35 PST 2016,Wed Nov 16 06:34:35 PST 2016,,,,972,98% (39/40),0% (0/1),0% (0/1),1228,https://github.com/facebook/buck/pull/611,https://github.com/facebook/buck/graphs/contributors,facebook-github-bot-6,"andrewjcg, bolinfest, bhamiltoncx",3,13,{},grumpyjames,grumpyjames,"andrewjcg, bolinfest, bhamiltoncx, ryu2","grumpyjames, facebook-github-bot, sdwilsh",N,{},N,{},N,{},N,{},3NQL1CS15SWO5SJQ68QASQKUJ7IVYP,FALSE,NN,ghost closed this in 972ef57 on Jan 13,,

3KTZHH2ONI3OEF05PAMOIXITAXE8MF,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:48 PDT 2016,2,BatchId:2567999;,3600,604800,Mon Nov 21 06:26:39 PST 2016,,,ABFSVRWVFHZ6P,Submitted,Mon Nov 07 06:22:01 PST 2016,Mon Nov 07 06:34:23 PST 2016,Mon Nov 14 06:34:23 PST 2016,,,,742,98% (39/40),0% (0/1),0% (0/1),1243,https://github.com/openshift/origin/pull/6541,https://github.com/openshift/origin/graphs/contributors,jayunit100,"openshift-bot, smarterclayton, deads2k",4,14,{},jayunit100,jayunit100,"rajatchopra, mfojtik, pravisankar, liggitt, danwinship, dcbw, smarterclayton, deads2k, bparees, danmcp, openshift-bot, ncdc, jwforres","jayunit100, timothysc, jeremyeder, pmorie, stevekuznetsov",N,{},"Y,core","if the whole implementation of building the e2e test artifact is different, this probably should be a separate function, maybe even a separate script (build-e2e.sh, modeled after a combination of build-go.sh and test-integration.sh?)



$$$$



if a strong case can be made for a wrapped kube e2e, we should do the upstream work to allow wrapping it (putting the guts in a non _test file, and making the _test file a 3-line function we wouldn't mind duplicating","Y,inconsistency","Should be a separate build target, and should not need sudo to build



$$$$



raises eyebrow... hacking around the cross-package _test dependency prohibition is probably not a good idea. Why do we need a single binary containing kube e2e tests AND origin e2e tests again?",N,{},3UJ1CZ6IZIDABCS21BG8662TNJZS5I,FALSE,NN,Subsumed by #7049,,

3UYRNV2KITNUWXL51B1OVC7TFNO8NF,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:49 PDT 2016,2,BatchId:2567999;,3600,604800,Mon Nov 21 06:26:40 PST 2016,,,ABFSVRWVFHZ6P,Submitted,Wed Nov 09 06:13:36 PST 2016,Wed Nov 09 06:59:55 PST 2016,Wed Nov 16 06:59:55 PST 2016,,,,2779,98% (39/40),0% (0/1),0% (0/1),1250,https://github.com/Homebrew/homebrew/pull/47792,https://github.com/Homebrew/homebrew/graphs/contributors,UniqMartin,"BrewTestBot, jacknagel, adamv",4,14,{},tonycosentini,tonycosentini,"BrewTestBot, jacknagel, adamv, mistydemeo","tonycosentini, UniqMartin, bfontaine, DomT4, MikeMcQuaid",N,{},N,{},"Y,improve","The CI isn't happy with your get_target_platform method and I'm neither (it's a bit over-engineered, no need for the constants either). To catch these types of failures earlier, you can run brew audit --strict infer locally, which will run a few checks on the formula.



I think I understand why you introduced this get_target_platform method, but to me it finally revealed that maybe the options are named sub-optimally. Here's what I suggest to call them:



without-clang: ‰ÛÏBuild without C/Objective-C analyzer‰Ûù

without-java: ‰ÛÏBuild without Java analyzer‰Ûù

This inverts the logic, but makes everything easier in this formula (and for people who look at its options). You would still perform the sanity check at the beginning:



if build.without?(""clang"") && build.without?(""java"")

  odie ""infer: --without-clang and --without-java are mutually exclusive""

end

You continue by inferring the target platform. More idiomatic Ruby code for this would be:



target_platform = if build.without?(""clang"")

  ""java""

elsif build.without?(""java"")

  ""clang""

else

  ""all""

end

A shorter (but more repetitive) alternative would be:



target_platform = ""all""

target_platform = ""java"" if build.without?(""clang"")

target_platform = ""clang"" if build.without?(""java"")

You can use that as you did previously in the invocation of build-infer.sh. The two parts of the test do block (by the way: awesome tests you added here; I wish every test do of a new formula looked like this) can now be guarded by either if build.with?(""clang"") or if build.with?(""java"").",N,{},3AQF3RZ5596XQBNU0AQERDXFW3TF6D,FALSE,NY,"Merged in 1a77218. Thank you for this contribution to Homebrew, @tonycosentini!",,

3MQKOF1EE2CW0MQAAK3RDNYLJQOWDZ,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:49 PDT 2016,1,BatchId:2567999;,3600,604800,Mon Oct 31 21:50:49 PDT 2016,,,AT9K95UXPKH3J,Approved,Tue Oct 25 04:14:37 PDT 2016,Tue Oct 25 04:18:40 PDT 2016,Tue Nov 01 04:18:40 PDT 2016,2016-11-01 11:19:16 UTC,,,243,100% (3/3),100% (3/3),0% (0/0),1269,https://github.com/pkg/sftp/pull/68,https://github.com/pkg/sftp/graphs/contributors,sykesm,"davecheney, marksheahan",4,15,{},sykesm,https://github.com/sykesm,"davecheney, marksheahan",https://github.com/marksheahan https://github.com/mdlayher,"Y,others","Looks good to me. The way I'm using the server is to call Serve() in the ssh server sftp subsystem handler. This could allow sftp servers with different directories per session, not per connection, but I can't imagine any real use case for that.



I occasionally worry about the number of worker pool goroutines spawned (8 per call to Serve()). Goroutines are cheap, but I'm not totally comfortable with it for some reason.



$$$$Seems fine here as well. Can you rebase on master and push again?","Y,core","// functions may be specified to further configure the Server.  

79 86  //  

80 87  // A subsequent call to Serve() is required to begin serving files over SFTP.  

81  -func NewServer(in io.Reader, out io.WriteCloser, rootDir string, options ...ServerOption) (*Server, error) {  

82  -	if rootDir == """" {  

83  -		wd, err := os.Getwd()  

84  -		if err != nil {  

85  -			return nil, err  

86  -		}  

87  -  

88  -		rootDir = wd  

 88 +func NewServer(in io.Reader, out io.WriteCloser, workingDir string, options ...ServerOption) (*Server, error) {  

 89 +	workingDir, err := filepath.Abs(workingDir)  



$$$$

server_integration_test.go  





509 510  	defer listenerGo.Close()  

510 511    

511  -	tmpFileLocal := ""/tmp/"" + randName()  

512  -	tmpFileRemote := ""/tmp/"" + randName()  

 512 +	tmpFileLocal := filepath.Join(os.TempDir(), randName())  



$$$$

server_integration_test.go  





539 575  	defer listenerGo.Close()  

540 576    

541  -	tmpFileLocal := ""/tmp/"" + randName()  

542  -	tmpFileRemote := ""/tmp/"" + randName()  

 577 +	tmpFileLocal := filepath.Join(os.TempDir(), randName())",N,{},N,{},3COPXFW7XC0GG3XDGHGKDQG0UIYKP9,FALSE,NN,"sykesm  commented on Jan 13  







Hi @davecheney. Given you're not on board with the motivation, I don't think it matters what the code looks like - there's a disconnect. That's part of the reason why I didn't want to make any changes until I heard back on my question.



I'm going to close this PR and go back to the original issue where I hope we can come up with a possible means to get the behavior I desire that is not in conflict with where you want things to go.",,

30P8I9JKOI9OHKBC54GCT9RFZ0P5VR,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:49 PDT 2016,1,BatchId:2567999;,3600,604800,Mon Oct 31 21:50:49 PDT 2016,,,A1WSTW4R68I8KI,Approved,Mon Oct 24 23:13:46 PDT 2016,Mon Oct 24 23:37:24 PDT 2016,Mon Oct 31 23:37:24 PDT 2016,2016-11-01 06:38:14 UTC,,,1418,100% (7/7),100% (2/2),0% (0/0),1272,https://github.com/netty/netty/pull/4648,https://github.com/netty/netty/graphs/contributors,jza70,"trustin, normanmaurer, Scottmitch",4,15,{},jza70,jza70,"trustin, normanmaurer, Scottmitch, fredericBregier, CruzBishop, nmittler, jestan, veebs",netkins,"Y,core","@trustin @nmittler any concerns ?



$$$$



This seems reasonable to me ... @Scottmitch?","Y,core","When there's neither content-length header nor transfer-encoding: chunked header, it does not necessarily mean the content is empty. A server can send the indefinite amount of content until the end of the connection. A client cannot do this though.","Y,bug|Y,improve",@jza70 I think this is not really correct as if a message has Content-Length: 0 set it be preserved. Don't you think ?,"Y, no value","For example, simple 404 without header would require connection close.

Yes, that's the correct behavior because we have no way to determine the content length of the 404 response.



Are we talking high performance here?

Nope. We are talking about correctness. If you do not like this behavior, you need to fix the server that sends a 404 without content-length header or switch to HTTP/2.",31Z0PCVWUL3QDGJ0E40VEVCBD0DT79,FALSE,NN,"@trustin, Do as you wish, but I believe it is wrong to assume identity content without any headers. In my case, it is inefficient to close connections after redirection response but in general case this can lead to hard to debug problems with loosing responses from pipelined requests and hanging connections (you are waiting for content). I guess I can report this as an issue.



$$$$



jza70 closed this on 10 Jan",,

3ZZAYRN1I6FVC2D55OCW1X3LJADTO3,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:50 PDT 2016,2,BatchId:2567999;,3600,604800,Mon Nov 21 06:26:43 PST 2016,,,ABFSVRWVFHZ6P,Submitted,Wed Nov 09 05:52:22 PST 2016,Wed Nov 09 06:04:40 PST 2016,Wed Nov 16 06:04:40 PST 2016,,,,738,98% (39/40),0% (0/1),0% (0/1),1280,https://github.com/18F/college-choice/pull/1418,https://github.com/18F/college-choice/graphs/contributors,ultrasaurus,"shawnbot, meiqimichelle",4,15,{},shawnbot,shawnbot,"LisaGee, meiqimichelle, ErieMeyer, ultrasaurus, barkimedes, shawnbot, brownpl, kynetiv, hollyallen, yozlet","jjoteal, nickbristow, houndci-bot",N,{},"Y,core|Y,others","Pinging @jjoteal: how do you feel about giving these buttons white a background?



$$$$



@shawnbot -- Rather than the white background on the buttons themselves, I would be more apt to keep the format consistent with what is on the homepage, so the entire ""Paying for College"" section in a white card that contains all of the buttons:



$$$$



@shawnbot try using a span or div instead of a label, give that an id for the aria-labledby. The result should be the same for the screen reader.



See if that gives you an error on codesniffer.",N,{},N,{},39ASUFLU6YVI3C7U6MFY98PZH5BXE3,TRUE,YY,ultrasaurus merged commit 989d578 into dev on Jan 27,,

341H3G5YF026VXUL9VZ3XK8K63JZ0Z,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:50 PDT 2016,1,BatchId:2567999;,3600,604800,Mon Oct 31 21:50:50 PDT 2016,,,A38NFX88VZDMJ3,Approved,Tue Oct 25 16:13:20 PDT 2016,Tue Oct 25 16:34:30 PDT 2016,Tue Nov 01 16:34:30 PDT 2016,2016-11-01 23:35:14 UTC,,,1270,100% (7/7),100% (7/7),0% (0/0),1290,https://github.com/NLog/NLog/pull/1157,https://github.com/NLog/NLog/graphs/contributors,304NotModified,"jkowalski, 304NotModified, Xharze",4,15,{},304NotModified,304NotModified,"jkowalski, 304NotModified, Xharze, bhaeussermann, Page-Not-Found",codecov-io,"Y,others",Wouldn't it be better if you expose a lock variable and use the same during modification of the list?,,{},N,{},N,{},3WZ36BJEV44DFSMQRLCBJXY7WWUTBX,TRUE,YY,Page-Not-Found added ready for merge and removed in-review labels,,

378G7J1SJLM1SS4A6FEBJ5G6J2PWES,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:49 PDT 2016,2,BatchId:2567999;,3600,604800,Mon Nov 21 06:26:40 PST 2016,,,ABFSVRWVFHZ6P,Submitted,Thu Nov 10 03:44:24 PST 2016,Thu Nov 10 04:14:37 PST 2016,Thu Nov 17 04:14:37 PST 2016,,,,1813,98% (39/40),0% (0/1),0% (0/1),1292,https://github.com/facebook/react-native/pull/5105,https://github.com/facebook/react-native/graphs/contributors,facebook-github-bot-9,"vjeux, nicklockwood, mkonicek",7,16,{},Charca,Charca,"foghina, sahrens, javache, spicyj, andreicoman11, AaaChiuuu, satya164, tadeuzagallo, mkonicek, frantic, nicklockwood, cpojer, amasad, brentvatne, a2, vjeux, ide, ericvicenti, martinbigio, bestander","facebook-github-bot, terrysahaidak, kmagiera","Y,core",Looks good! Thank you!,N,{},N,{},N,{},3ON104KXQLKLMA5B7B7ZY3Z1VNZ4WH,FALSE,NN,ghost closed this in 2039be9 on Apr 12,,
